Date,Medicine_Id,Warehouse_id,Supplier_id,Quantity_Sold,Revenue,Country
20-10-2023,MED116,WH001,SUP001,38,1710,Australia
21-10-2023,MED116,WH001,SUP001,151,6040,Australia
21-10-2023,MED116,WH001,SUP001,52,2080,Australia
24-10-2023,MED116,WH001,SUP001,83,3154,Australia
25-10-2023,MED116,WH001,SUP001,114,4560,Australia
26-10-2023,MED101,WH001,SUP001,101,3030,Australia
27-10-2023,MED116,WH001,SUP001,72,2664,Australia
28-10-2023,MED116,WH001,SUP001,45,2160,Australia
31-10-2023,MED116,WH001,SUP001,141,4230,Australia
01-11-2023,MED116,WH001,SUP001,126,3780,India
02-11-2023,MED116,WH001,SUP001,88,2640,India
03-11-2023,MED116,WH001,SUP001,59,2360,India
03-11-2023,MED116,WH001,SUP001,35,1225,India
04-11-2023,MED116,WH002,SUP002,153,6120,India
07-11-2023,MED116,WH003,SUP003,55,2200,India
08-11-2023,MED116,WH004,SUP004,81,2916,India
09-11-2023,MED116,WH005,SUP005,117,4680,India
10-11-2023,MED116,WH006,SUP006,98,2940,India
11-11-2023,MED116,WH007,SUP007,70,2520,India
14-11-2023,MED116,WH007,SUP007,42,2016,USA
15-11-2023,MED116,WH007,SUP007,143,4290,USA
16-11-2023,MED116,WH007,SUP007,123,3690,USA
16-11-2023,MED116,WH007,SUP007,94,2820,USA
17-11-2023,MED116,WH007,SUP007,66,2508,USA
18-11-2023,MED116,WH007,SUP007,37,1628,USA
21-11-2023,MED108,WH007,SUP007,155,6200,USA
22-11-2023,MED116,WH007,SUP007,51,2040,USA
23-11-2023,MED108,WH007,SUP007,85,3060,USA
24-11-2023,MED116,WH007,SUP007,113,4520,USA
25-11-2023,MED108,WH007,SUP007,100,3000,UK
28-11-2023,MED116,WH007,SUP007,74,2812,UK
29-11-2023,MED116,WH007,SUP007,48,2304,UK
29-11-2023,MED116,WH007,SUP007,135,4050,UK
30-11-2023,MED101,WH007,SUP007,120,3600,UK
01-12-2023,MED116,WH012,SUP012,90,2700,UK
02-12-2023,MED116,WH012,SUP012,62,2480,UK
05-12-2023,MED116,WH012,SUP012,34,1360,UK
06-12-2023,MED116,WH012,SUP012,157,6280,UK
07-12-2023,MED101,WH012,SUP012,56,2184,UK
08-12-2023,MED116,WH012,SUP012,77,2772,Germany
09-12-2023,MED101,WH012,SUP012,115,4600,Germany
12-12-2023,MED116,WH012,SUP012,103,3090,Germany
12-12-2023,MED101,WH012,SUP012,69,2691,Germany
13-12-2023,MED116,WH012,SUP012,40,1800,Germany
14-12-2023,MED116,WH012,SUP012,138,4140,Germany
15-12-2023,MED116,WH012,SUP012,127,3810,Germany
16-12-2023,MED116,WH012,SUP012,91,2730,Germany
19-12-2023,MED116,WH012,SUP012,60,2400,Germany
20-12-2023,MED116,WH012,SUP012,32,1280,Germany
21-12-2023,MED116,WH012,SUP012,159,6360,Canada
22-12-2023,MED116,WH012,SUP012,58,2320,Canada
23-12-2023,MED116,WH012,SUP012,80,2880,Canada
23-12-2023,MED116,WH012,SUP012,109,4360,Canada
26-12-2023,MED116,WH012,SUP012,97,2910,Canada
27-12-2023,MED116,WH012,SUP012,73,2628,Canada
27-12-2023,MED116,WH012,SUP012,47,2021,Canada
28-12-2023,MED116,WH012,SUP012,140,4200,Canada
29-12-2023,MED116,WH012,SUP012,129,3870,Canada
29-12-2023,MED116,WH012,SUP012,93,2790,Canada
30-12-2023,MED116,WH012,SUP012,67,2680,Australia
02-01-2024,MED111,WH012,SUP012,36,1512,Australia
03-01-2024,MED111,WH012,SUP012,161,6440,Australia
03-01-2024,MED111,WH012,SUP012,54,2160,Australia
04-01-2024,MED111,WH012,SUP012,82,2952,Australia
05-01-2024,MED112,WH005,SUP005,118,4720,Australia
05-01-2024,MED113,WH006,SUP006,104,3060,Australia
06-01-2024,MED114,WH007,SUP007,71,2775,Australia
09-01-2024,MED115,WH008,SUP008,44,2115,Australia
09-01-2024,MED116,WH009,SUP009,136,4260,Australia
10-01-2024,MED116,WH010,SUP010,125,3930,India
11-01-2024,MED116,WH011,SUP011,89,2670,India
12-01-2024,MED116,WH012,SUP012,63,2520,India
12-01-2024,MED116,WH013,SUP013,35,1404,India
13-01-2024,MED116,WH014,SUP014,163,6520,India
16-01-2024,MED116,WH015,SUP015,57,2280,India
16-01-2024,MED116,WH005,SUP005,78,3024,India
17-01-2024,MED116,WH005,SUP005,112,4640,India
18-01-2024,MED116,WH005,SUP005,99,2970,India
18-01-2024,MED116,WH005,SUP005,75,2583,India
19-01-2024,MED116,WH005,SUP005,49,2256,USA
20-01-2024,MED116,WH005,SUP005,142,4320,USA
23-01-2024,MED116,WH005,SUP005,130,3660,USA
23-01-2024,MED116,WH005,SUP005,95,2850,USA
24-01-2024,MED116,WH005,SUP005,68,2440,USA
25-01-2024,MED116,WH005,SUP005,38,1320,USA
25-01-2024,MED116,WH005,SUP005,165,6600,USA
26-01-2024,MED116,WH005,SUP005,53,2120,USA
27-01-2024,MED116,WH005,SUP005,84,2808,USA
27-01-2024,MED116,WH006,SUP006,116,4560,USA
30-01-2024,MED116,WH007,SUP007,102,3030,UK
31-01-2024,MED116,WH008,SUP008,70,2701,UK
01-02-2024,MED101,WH009,SUP009,43,2303,UK
01-02-2024,MED116,WH010,SUP010,144,4380,UK
02-02-2024,MED116,WH011,SUP011,121,3720,UK
03-02-2024,MED101,WH012,SUP012,92,2610,UK
03-02-2024,MED102,WH013,SUP013,61,2560,UK
06-02-2024,MED103,WH014,SUP014,33,1440,UK
07-02-2024,MED104,WH015,SUP015,167,6680,UK
07-02-2024,MED105,WH015,SUP015,55,2240,UK
08-02-2024,MED106,WH015,SUP015,79,2870,Germany
09-02-2024,MED107,WH015,SUP015,110,4400,Germany
10-02-2024,MED108,WH015,SUP015,98,3090,Germany
10-02-2024,MED108,WH015,SUP015,72,2555,Germany
13-02-2024,MED108,WH015,SUP015,46,2162,Germany
14-02-2024,MED108,WH015,SUP015,146,4440,Germany
14-02-2024,MED108,WH015,SUP015,128,3780,Germany
15-02-2024,MED108,WH015,SUP015,94,2730,Germany
16-02-2024,MED108,WH015,SUP015,65,2480,Germany
16-02-2024,MED109,WH015,SUP015,37,1360,Germany
17-02-2024,MED110,WH015,SUP015,169,6760,Canada
20-02-2024,MED111,WH015,SUP015,52,2360,Canada
21-02-2024,MED101,WH015,SUP015,81,2932,Canada
21-02-2024,MED102,WH015,SUP015,114,4760,Canada
22-02-2024,MED103,WH014,SUP014,101,2940,Canada
23-02-2024,MED104,WH014,SUP014,74,2810,Canada
23-02-2024,MED105,WH014,SUP014,48,2256,Canada
24-02-2024,MED105,WH014,SUP014,148,4500,Canada
27-02-2024,MED105,WH014,SUP014,123,3840,Canada
27-02-2024,MED105,WH014,SUP014,90,2790,Canada
28-02-2024,MED105,WH014,SUP014,64,2600,Australia
01-03-2024,MED105,WH014,SUP014,34,1480,Australia
02-03-2024,MED101,WH014,SUP014,171,6840,Australia
02-03-2024,MED102,WH014,SUP014,56,2200,Australia
03-03-2024,MED103,WH014,SUP014,77,2994,Australia
06-03-2024,MED104,WH014,SUP014,117,4680,Australia
06-03-2024,MED108,WH014,SUP014,103,3000,Australia
07-03-2024,MED108,WH014,SUP014,69,2630,Australia
08-03-2024,MED108,WH014,SUP014,41,2115,Australia
08-03-2024,MED108,WH014,SUP014,150,4560,Australia
09-03-2024,MED108,WH014,SUP014,126,3900,India
10-03-2024,MED108,WH008,SUP008,93,2670,India
13-03-2024,MED108,WH008,SUP008,66,2520,India
13-03-2024,MED101,WH008,SUP008,39,1404,India
14-03-2024,MED102,WH008,SUP008,173,6920,India
15-03-2024,MED103,WH008,SUP008,58,2320,India
15-03-2024,MED104,WH008,SUP008,83,3056,India
16-03-2024,MED105,WH008,SUP008,111,4520,India
17-03-2024,MED106,WH008,SUP008,97,3060,India
17-03-2024,MED101,WH008,SUP008,71,2750,India
20-03-2024,MED101,WH008,SUP008,45,2208,USA
21-03-2024,MED101,WH008,SUP008,152,4620,USA
22-03-2024,MED101,WH008,SUP008,129,3960,USA
22-03-2024,MED101,WH008,SUP008,95,2850,USA
23-03-2024,MED101,WH008,SUP008,62,2440,USA
24-03-2024,MED101,WH008,SUP008,35,1320,USA
24-03-2024,MED101,WH008,SUP008,175,7000,USA
27-03-2024,MED101,WH008,SUP008,54,2160,USA
28-03-2024,MED101,WH008,SUP008,80,2818,USA
28-03-2024,MED101,WH008,SUP008,115,4600,USA
29-03-2024,MED101,WH008,SUP008,100,2970,UK
30-03-2024,MED102,WH008,SUP008,73,2576,UK
31-03-2024,MED103,WH008,SUP008,47,2068,UK
31-03-2024,MED104,WH008,SUP008,154,4680,UK
03-04-2024,MED105,WH008,SUP008,124,4020,UK
04-04-2024,MED106,WH008,SUP008,91,2610,UK
04-04-2024,MED107,WH008,SUP008,67,2560,UK
05-04-2024,MED108,WH009,SUP009,36,1440,UK
06-04-2024,MED109,WH008,SUP008,177,7080,UK
06-04-2024,MED110,WH009,SUP009,57,2280,UK
07-04-2024,MED111,WH008,SUP008,78,2880,Germany
10-04-2024,MED112,WH009,SUP009,113,4360,Germany
11-04-2024,MED108,WH008,SUP008,104,3030,Germany
11-04-2024,MED108,WH009,SUP009,70,2695,Germany
12-04-2024,MED108,WH008,SUP008,42,2160,Germany
13-04-2024,MED108,WH009,SUP009,156,4740,Germany
13-04-2024,MED108,WH008,SUP008,127,4080,Germany
14-04-2024,MED112,WH009,SUP009,94,2730,Germany
17-04-2024,MED112,WH008,SUP008,63,2480,Germany
17-04-2024,MED112,WH009,SUP009,38,1360,Germany
18-04-2024,MED112,WH008,SUP008,179,7160,Canada
19-04-2024,MED112,WH009,SUP009,53,2120,Canada
20-04-2024,MED112,WH008,SUP008,82,2942,Canada
20-04-2024,MED112,WH009,SUP009,118,4720,Canada
21-04-2024,MED112,WH008,SUP008,102,3090,Canada
24-04-2024,MED112,WH011,SUP011,75,2812,Canada
24-04-2024,MED112,WH011,SUP011,49,2256,Canada
25-04-2024,MED112,WH011,SUP011,158,4800,Canada
26-04-2024,MED113,WH011,SUP011,122,4140,Canada
26-04-2024,MED113,WH011,SUP011,89,2790,Canada
27-04-2024,MED113,WH011,SUP011,65,2600,Australia
28-04-2024,MED113,WH011,SUP011,34,1480,Australia
01-05-2024,MED113,WH011,SUP011,181,7240,Australia
01-05-2024,MED113,WH011,SUP011,55,2240,Australia
02-05-2024,MED108,WH011,SUP011,79,3004,Australia
03-05-2024,MED117,WH011,SUP011,110,4640,Australia
03-05-2024,MED117,WH011,SUP011,99,2940,Australia
04-05-2024,MED117,WH011,SUP011,72,2630,Australia
05-05-2024,MED117,WH011,SUP011,46,2115,Australia
05-05-2024,MED102,WH011,SUP011,160,4860,Australia
08-05-2024,MED102,WH011,SUP011,125,4200,India
09-05-2024,MED102,WH011,SUP011,92,2670,India
10-05-2024,MED102,WH011,SUP011,68,2520,India
10-05-2024,MED102,WH011,SUP011,37,1404,India
11-05-2024,MED102,WH011,SUP011,183,7320,India
12-05-2024,MED101,WH011,SUP011,56,2360,India
12-05-2024,MED102,WH001,SUP001,81,3066,India
15-05-2024,MED103,WH002,SUP002,114,4560,India
16-05-2024,MED104,WH003,SUP003,101,3000,India
16-05-2024,MED105,WH004,SUP004,74,2750,India
17-05-2024,MED105,WH005,SUP005,48,2208,USA
18-05-2024,MED105,WH006,SUP006,162,4920,USA
19-05-2024,MED105,WH007,SUP007,128,4260,USA
19-05-2024,MED105,WH008,SUP008,90,2850,USA
22-05-2024,MED105,WH009,SUP009,61,2440,USA
23-05-2024,MED105,WH010,SUP010,35,1320,USA
23-05-2024,MED105,WH011,SUP011,185,7400,USA
24-05-2024,MED105,WH012,SUP012,58,2200,USA
25-05-2024,MED101,WH013,SUP013,77,2828,USA
25-05-2024,MED101,WH014,SUP014,116,4600,USA
26-05-2024,MED101,WH015,SUP015,103,3060,UK
29-05-2024,MED101,WH005,SUP005,69,2576,UK
30-05-2024,MED101,WH005,SUP005,40,2068,UK
30-05-2024,MED101,WH005,SUP005,164,4980,UK
31-05-2024,MED101,WH005,SUP005,130,4320,UK
01-06-2024,MED101,WH005,SUP005,93,2610,UK
01-06-2024,MED101,WH005,SUP005,66,2560,UK
02-06-2024,MED102,WH005,SUP005,39,1440,UK
05-06-2024,MED102,WH005,SUP005,187,7480,UK
05-06-2024,MED102,WH005,SUP005,54,2320,UK
06-06-2024,MED102,WH005,SUP005,83,2890,Germany
07-06-2024,MED102,WH005,SUP005,112,4400,Germany
08-06-2024,MED102,WH005,SUP005,98,2970,Germany
08-06-2024,MED115,WH005,SUP005,71,2695,Germany
09-06-2024,MED115,WH005,SUP005,44,2160,Germany
12-06-2024,MED115,WH005,SUP005,166,5040,Germany
12-06-2024,MED115,WH005,SUP005,123,4380,Germany
13-06-2024,MED115,WH005,SUP005,95,2730,Germany
14-06-2024,MED115,WH003,SUP003,64,2480,Germany
14-06-2024,MED115,WH003,SUP003,36,1360,Germany
15-06-2024,MED115,WH003,SUP003,189,7560,Canada
16-06-2024,MED115,WH003,SUP003,57,2160,Canada
19-06-2024,MED115,WH003,SUP003,80,2952,Canada
19-06-2024,MED118,WH003,SUP003,115,4760,Canada
20-06-2024,MED118,WH003,SUP003,100,3030,Canada
21-06-2024,MED118,WH003,SUP003,73,2812,Canada
21-06-2024,MED118,WH003,SUP003,47,2256,Canada
22-06-2024,MED118,WH003,SUP003,168,5100,Canada
23-06-2024,MED118,WH003,SUP003,126,4440,Canada
23-06-2024,MED118,WH003,SUP003,91,2790,Canada
26-06-2024,MED118,WH003,SUP003,67,2600,Australia
27-06-2024,MED102,WH001,SUP001,38,1480,Australia
28-06-2024,MED102,WH002,SUP002,191,7640,Australia
28-06-2024,MED102,WH003,SUP003,52,2280,Australia
29-06-2024,MED102,WH004,SUP004,78,3014,Australia
30-06-2024,MED103,WH005,SUP004,117,4680,Australia
30-06-2024,MED104,WH006,SUP004,104,3090,Australia
03-07-2024,MED105,WH007,SUP004,70,2630,Australia
04-07-2024,MED106,WH008,SUP004,43,2115,Australia
04-07-2024,MED107,WH009,SUP004,170,5160,Australia
05-07-2024,MED107,WH010,SUP004,129,4500,India
06-07-2024,MED107,WH011,SUP004,94,2670,India
07-07-2024,MED107,WH012,SUP004,62,2520,India
07-07-2024,MED107,WH013,SUP004,34,1404,India
10-07-2024,MED107,WH014,SUP004,193,7720,India
11-07-2024,MED107,WH015,SUP004,55,2120,India
11-07-2024,MED107,WH010,SUP004,82,3076,India
12-07-2024,MED107,WH010,SUP004,111,4520,India
13-07-2024,MED107,WH010,SUP004,102,2940,India
13-07-2024,MED107,WH010,SUP004,75,2750,India
14-07-2024,MED107,WH010,SUP004,49,2208,USA
17-07-2024,MED107,WH010,SUP010,172,5220,USA
18-07-2024,MED107,WH010,SUP010,121,4560,USA
18-07-2024,MED107,WH010,SUP010,89,2850,USA
19-07-2024,MED107,WH010,SUP010,65,2440,USA
20-07-2024,MED107,WH010,SUP010,37,1320,USA
20-07-2024,MED107,WH010,SUP010,195,7800,USA
21-07-2024,MED107,WH010,SUP010,56,2240,USA
24-07-2024,MED107,WH010,SUP010,79,2838,USA
24-07-2024,MED107,WH010,SUP010,114,4600,USA
25-07-2024,MED127,WH010,SUP010,99,3000,UK
26-07-2024,MED127,WH010,SUP010,72,2576,UK
27-07-2024,MED127,WH010,SUP010,46,2068,UK
27-07-2024,MED127,WH010,SUP010,174,5280,UK
28-07-2024,MED127,WH010,SUP010,124,4620,UK
31-07-2024,MED127,WH010,SUP010,92,2610,UK
31-07-2024,MED127,WH010,SUP010,68,2560,UK
01-08-2024,MED127,WH010,SUP010,35,1440,UK
02-08-2024,MED127,WH010,SUP010,197,7880,UK
02-08-2024,MED127,WH010,SUP010,58,2360,UK
03-08-2024,MED127,WH009,SUP009,81,2900,Germany
04-08-2024,MED127,WH009,SUP009,116,4360,Germany
07-08-2024,MED127,WH009,SUP009,101,3060,Germany
07-08-2024,MED108,WH009,SUP009,74,2695,Germany
08-08-2024,MED108,WH009,SUP009,48,2160,Germany
09-08-2024,MED108,WH009,SUP009,176,5340,Germany
09-08-2024,MED108,WH009,SUP009,127,4680,Germany
10-08-2024,MED108,WH009,SUP009,90,2730,Germany
11-08-2024,MED108,WH009,SUP009,63,2480,Germany
11-08-2024,MED108,WH009,SUP009,39,1360,Germany
14-08-2024,MED108,WH009,SUP009,199,7960,Canada
15-08-2024,MED108,WH009,SUP009,54,2200,Canada
16-08-2024,MED108,WH009,SUP009,77,2962,Canada
16-08-2024,MED108,WH009,SUP009,113,4720,Canada
17-08-2024,MED108,WH009,SUP009,103,2970,Canada
18-08-2024,MED108,WH009,SUP009,69,2812,Canada
18-08-2024,MED108,WH009,SUP009,41,2256,Canada
21-08-2024,MED108,WH009,SUP009,178,5400,Canada
22-08-2024,MED108,WH009,SUP009,130,4740,Canada
22-08-2024,MED108,WH009,SUP009,93,2790,Canada
23-08-2024,MED108,WH001,SUP001,66,2600,Australia
24-08-2024,MED125,WH002,SUP002,36,1480,Australia
25-08-2024,MED125,WH003,SUP003,201,8040,Australia
25-08-2024,MED125,WH004,SUP004,57,2320,Australia
28-08-2024,MED125,WH005,SUP005,83,3024,Australia
29-08-2024,MED125,WH006,SUP006,118,4640,Australia
29-08-2024,MED125,WH007,SUP007,98,3030,Australia
30-08-2024,MED125,WH008,SUP008,71,2630,Australia
31-08-2024,MED125,WH009,SUP009,45,2115,Australia
31-08-2024,MED125,WH010,SUP010,180,5460,Australia
01-09-2024,MED125,WH011,SUP011,122,4800,India
04-09-2024,MED112,WH012,SUP012,95,2670,India
05-09-2024,MED113,WH013,SUP012,64,2520,India
05-09-2024,MED114,WH014,SUP012,38,1404,India
06-09-2024,MED115,WH015,SUP012,203,8120,India
07-09-2024,MED116,WH005,SUP012,53,2160,India
07-09-2024,MED117,WH006,SUP012,80,3086,India
08-09-2024,MED118,WH007,SUP012,110,4560,India
11-09-2024,MED119,WH008,SUP012,100,3090,India
11-09-2024,MED120,WH009,SUP012,73,2750,India
12-09-2024,MED121,WH010,SUP012,47,2208,USA
12-09-2024,MED122,WH011,SUP012,182,5520,USA
13-09-2024,MED123,WH012,SUP012,125,4860,USA
14-09-2024,MED124,WH013,SUP013,91,2850,USA
14-09-2024,MED125,WH014,SUP014,67,2440,USA
15-09-2024,MED126,WH014,SUP014,34,1320,USA
15-09-2024,MED127,WH014,SUP014,205,8200,USA
18-09-2024,MED128,WH014,SUP014,55,2280,USA
19-09-2024,MED129,WH014,SUP014,78,2848,USA
19-09-2024,MED130,WH014,SUP014,114,4600,USA
20-09-2024,MED105,WH014,SUP014,104,2940,UK
20-09-2024,MED106,WH014,SUP014,70,2576,UK
21-09-2024,MED107,WH014,SUP014,42,2068,UK
22-09-2024,MED108,WH014,SUP014,184,5580,UK
22-09-2024,MED109,WH014,SUP014,128,4920,UK
25-09-2024,MED110,WH014,SUP014,94,2610,UK
25-09-2024,MED111,WH014,SUP014,62,2560,UK
26-09-2024,MED112,WH014,SUP014,35,1440,UK
27-09-2024,MED113,WH001,SUP001,207,8280,UK
27-09-2024,MED114,WH002,SUP002,56,2120,UK
28-09-2024,MED115,WH003,SUP003,82,2910,Germany
28-09-2024,MED116,WH004,SUP004,117,4400,Germany
29-09-2024,MED101,WH005,SUP005,102,3000,Germany
02-10-2024,MED102,WH006,SUP006,75,2695,Germany
02-10-2024,MED103,WH001,SUP001,49,2160,Germany
03-10-2024,MED104,WH002,SUP001,186,5640,Germany
03-10-2024,MED105,WH003,SUP001,123,4980,Germany
04-10-2024,MED106,WH004,SUP001,89,2730,Germany
05-10-2024,MED107,WH005,SUP001,65,2480,Germany
05-10-2024,MED108,WH006,SUP001,37,1360,Germany
06-10-2024,MED109,WH007,SUP001,209,8360,Canada
06-10-2024,MED110,WH008,SUP001,58,2240,Canada
09-10-2024,MED111,WH009,SUP001,79,2972,Canada
10-10-2024,MED112,WH010,SUP001,111,4760,Canada
10-10-2024,MED113,WH011,SUP001,99,3060,Canada
11-10-2024,MED114,WH012,SUP001,72,2812,Canada
11-10-2024,MED115,WH013,SUP001,46,2256,Canada
12-10-2024,MED116,WH014,SUP001,188,5700,Canada
13-10-2024,MED117,WH015,SUP015,126,5040,Canada
13-10-2024,MED118,WH015,SUP015,92,2790,Canada
16-10-2024,MED119,WH015,SUP015,68,2600,Australia
16-10-2024,MED120,WH015,SUP015,39,1480,Australia
17-10-2024,MED121,WH015,SUP015,211,8440,Australia
18-10-2024,MED122,WH015,SUP015,54,2360,Australia
18-10-2024,MED105,WH015,SUP015,81,3034,Australia
19-10-2024,MED106,WH015,SUP015,115,4680,Australia
19-10-2024,MED107,WH015,SUP015,101,2970,Australia
20-10-2024,MED108,WH015,SUP015,74,2630,Australia
23-10-2024,MED109,WH015,SUP015,48,2115,Australia
23-10-2024,MED110,WH015,SUP015,190,5760,Australia
24-10-2024,MED111,WH015,SUP015,129,5100,India
24-10-2024,MED112,WH015,SUP015,90,2670,India
25-10-2024,MED113,WH004,SUP004,61,2520,India
26-10-2024,MED114,WH004,SUP004,36,1404,India
26-10-2024,MED115,WH004,SUP004,213,8520,India
27-10-2024,MED116,WH004,SUP004,57,2200,India
27-10-2024,MED110,WH004,SUP004,77,3096,India
30-10-2024,MED111,WH004,SUP004,116,4520,India
31-10-2024,MED112,WH004,SUP004,103,3030,India
31-10-2024,MED113,WH004,SUP004,69,2750,India
01-11-2024,MED114,WH004,SUP004,40,2208,USA
01-11-2024,MED115,WH004,SUP004,192,5820,USA
02-11-2024,MED116,WH004,SUP004,121,5160,USA
03-11-2024,MED117,WH004,SUP004,93,2850,USA
03-11-2024,MED118,WH004,SUP004,66,2440,USA
06-11-2024,MED119,WH004,SUP004,38,1320,USA
06-11-2024,MED120,WH004,SUP004,215,8600,USA
07-11-2024,MED121,WH004,SUP004,52,2320,USA
08-11-2024,MED122,WH004,SUP004,83,2858,USA
08-11-2024,MED123,WH004,SUP004,112,4600,USA
09-11-2024,MED124,WH004,SUP004,98,3090,UK
09-11-2024,MED125,WH004,SUP004,71,2576,UK
10-11-2024,MED126,WH004,SUP004,44,2068,UK
13-11-2024,MED127,WH004,SUP004,194,5880,UK
13-11-2024,MED128,WH006,SUP006,124,5220,UK
14-11-2024,MED129,WH007,SUP007,95,2610,UK
14-11-2024,MED109,WH008,SUP008,64,2560,UK
15-11-2024,MED110,WH009,SUP009,34,1440,UK
16-11-2024,MED111,WH010,SUP010,217,8680,UK
16-11-2024,MED112,WH001,SUP001,55,2160,UK
17-11-2024,MED113,WH002,SUP002,80,2920,Germany
17-11-2024,MED114,WH003,SUP003,115,4360,Germany
20-11-2024,MED115,WH004,SUP004,100,2940,Germany
21-11-2024,MED116,WH005,SUP005,73,2695,Germany
21-11-2024,MED117,WH006,SUP006,47,2160,Germany
22-11-2024,MED118,WH007,SUP007,196,5940,Germany
22-11-2024,MED119,WH008,SUP008,127,5280,Germany
23-11-2024,MED120,WH009,SUP009,91,2730,Germany
24-11-2024,MED121,WH010,SUP010,67,2480,Germany
24-11-2024,MED122,WH011,SUP011,35,1360,Germany
27-11-2024,MED123,WH012,SUP012,219,8760,Canada
27-11-2024,MED124,WH013,SUP013,56,2280,Canada
28-11-2024,MED125,WH014,SUP014,78,2982,Canada
29-11-2024,MED108,WH015,SUP015,113,4720,Canada
29-11-2024,MED109,WH015,SUP015,104,3000,Canada
30-11-2024,MED110,WH015,SUP015,70,2812,Canada
30-11-2024,MED111,WH015,SUP015,43,2256,Canada
01-12-2024,MED112,WH015,SUP015,198,6000,Canada
04-12-2024,MED113,WH015,SUP015,130,5340,Canada
04-12-2024,MED114,WH015,SUP015,94,2790,Canada
05-12-2024,MED115,WH015,SUP015,62,2600,Australia
05-12-2024,MED116,WH015,SUP015,37,1480,Australia
06-12-2024,MED117,WH015,SUP015,221,8840,Australia
07-12-2024,MED118,WH015,SUP015,58,2120,Australia
07-12-2024,MED119,WH015,SUP015,82,3044,Australia
08-12-2024,MED120,WH015,SUP015,118,4640,Australia
08-12-2024,MED121,WH015,SUP015,102,3060,Australia
11-12-2024,MED122,WH015,SUP015,75,2630,Australia
12-12-2024,MED123,WH015,SUP015,49,2115,Australia
12-12-2024,MED124,WH015,SUP015,200,6060,Australia
13-12-2024,MED114,WH015,SUP015,122,5400,India
